apm,apm_variance,error_rate,action_gap_mean,apm_vs_baseline,replay_id,player_id,window_idx,match_pct,fatigue_score,fatigue_binary
480.5,466.1875,0.231,0.1249,-0.2271,rep_00028,rep_00028_p0,5,0.595,0.2592,0
509.5,807.6875,0.2375,0.117,-0.1804,rep_00028,rep_00028_p0,6,0.714,0.231,0
530.5,465.6875,0.3186,0.113,-0.1466,rep_00028,rep_00028_p0,7,0.833,0.3537,1
526.0,308.0,0.2538,0.1141,0.0227,rep_00028,rep_00028_p1,0,0.0,0.0177,0
490.0,384.5,0.2255,0.1224,-0.0473,rep_00028,rep_00028_p1,1,0.119,0.0247,0
544.5,1185.6875,0.1974,0.11,0.0587,rep_00028,rep_00028_p1,2,0.238,0.0,0
522.0,711.5,0.181,0.1148,0.0149,rep_00028,rep_00028_p1,3,0.357,0.0,0
634.0,880.5,0.2082,0.0946,0.2327,rep_00028,rep_00028_p1,4,0.476,0.0,0
649.0,484.25,0.2396,0.0924,0.2618,rep_00028,rep_00028_p1,5,0.595,0.0,0
651.5,118.6875,0.2279,0.092,0.2667,rep_00028,rep_00028_p1,6,0.714,0.0,0
625.5,528.6875,0.1855,0.0959,0.2161,rep_00028,rep_00028_p1,7,0.833,0.0,0
382.0,321.5,0.284,0.1566,-0.018,rep_00030,rep_00030_p0,0,0.0,0.0,0
374.0,410.5,0.3543,0.1602,-0.0386,rep_00030,rep_00030_p0,1,0.117,0.0406,0
443.5,129.6875,0.2988,0.1353,0.1401,rep_00030,rep_00030_p0,2,0.233,0.0,0
455.5,705.6875,0.292,0.1312,0.171,rep_00030,rep_00030_p0,3,0.35,0.0,0
458.0,696.5,0.3319,0.1309,0.1774,rep_00030,rep_00030_p0,4,0.467,0.012,0
470.0,584.0,0.3277,0.1275,0.2082,rep_00030,rep_00030_p0,5,0.584,0.008,0
497.5,1118.6875,0.3186,0.1205,0.2789,rep_00030,rep_00030_p0,6,0.7,0.0,0
476.0,73.0,0.3529,0.126,0.2237,rep_00030,rep_00030_p0,7,0.817,0.0317,0
421.0,358.25,0.3147,0.1426,-0.0747,rep_00030,rep_00030_p1,0,0.0,0.1043,0
513.5,458.1875,0.2493,0.1167,0.1286,rep_00030,rep_00030_p1,1,0.117,0.0,0
584.5,957.1875,0.3045,0.1027,0.2846,rep_00030,rep_00030_p1,2,0.233,0.0239,0
588.0,1181.5,0.2951,0.1016,0.2923,rep_00030,rep_00030_p1,3,0.35,0.0139,0
599.0,1880.25,0.2763,0.1001,0.3165,rep_00030,rep_00030_p1,4,0.467,0.0,0
597.5,472.1875,0.3155,0.1002,0.3132,rep_00030,rep_00030_p1,5,0.584,0.0356,0
641.5,2038.1875,0.3227,0.0934,0.4099,rep_00030,rep_00030_p1,6,0.7,0.0433,0
608.0,414.5,0.2928,0.0984,0.3363,rep_00030,rep_00030_p1,7,0.817,0.0115,0
332.0,144.5,0.3584,0.1809,-0.1075,rep_00041,rep_00041_p0,0,0.0,0.2482,0
527.0,3138.25,0.1945,0.1135,0.4167,rep_00041,rep_00041_p0,1,0.098,0.0,0
533.5,50.1875,0.1874,0.1125,0.4341,rep_00041,rep_00041_p0,2,0.197,0.0,0
597.0,1651.25,0.2412,0.1004,0.6048,rep_00041,rep_00041_p0,3,0.295,0.0,0
649.5,804.6875,0.2425,0.0922,0.746,rep_00041,rep_00041_p0,4,0.394,0.0,0
747.5,1145.1875,0.2154,0.0802,1.0094,rep_00041,rep_00041_p0,5,0.492,0.0,0
689.5,129.6875,0.2197,0.0869,0.8535,rep_00041,rep_00041_p0,6,0.59,0.0,0
767.0,463.25,0.2132,0.0781,1.0618,rep_00041,rep_00041_p0,7,0.689,0.0,0
746.5,5560.6875,0.1835,0.0801,1.0067,rep_00041,rep_00041_p0,8,0.787,0.0,0
807.5,5060.6875,0.2167,0.0743,1.1707,rep_00041,rep_00041_p0,9,0.886,0.0,0
398.5,307.6875,0.3739,0.1506,-0.0257,rep_00041,rep_00041_p1,0,0.0,0.1164,0
504.5,1590.6875,0.2973,0.119,0.2335,rep_00041,rep_00041_p1,1,0.098,0.0,0
495.0,462.25,0.3051,0.1212,0.2103,rep_00041,rep_00041_p1,2,0.197,0.0,0
458.0,981.0,0.2664,0.131,0.1198,rep_00041,rep_00041_p1,3,0.295,0.0,0
585.5,1156.6875,0.3219,0.1025,0.4315,rep_00041,rep_00041_p1,4,0.394,0.0,0
639.5,428.1875,0.301,0.0937,0.5636,rep_00041,rep_00041_p1,5,0.492,0.0,0
569.5,1818.1875,0.2669,0.1053,0.3924,rep_00041,rep_00041_p1,6,0.59,0.0,0
625.0,349.25,0.3032,0.096,0.5281,rep_00041,rep_00041_p1,7,0.689,0.0,0
586.5,1516.6875,0.3419,0.1022,0.434,rep_00041,rep_00041_p1,8,0.787,0.0056,0
616.0,950.0,0.2321,0.0973,0.5061,rep_00041,rep_00041_p1,9,0.886,0.0,0
383.0,383.25,0.2115,0.1562,-0.0574,rep_00042,rep_00042_p0,0,0.0,0.0184,0
403.5,626.1875,0.285,0.1481,-0.007,rep_00042,rep_00042_p0,1,0.114,0.0444,0
444.5,1027.6875,0.2193,0.1347,0.0939,rep_00042,rep_00042_p0,2,0.228,0.0,0
446.0,206.5,0.213,0.1344,0.0976,rep_00042,rep_00042_p0,3,0.342,0.0,0
505.0,238.75,0.2574,0.1187,0.2428,rep_00042,rep_00042_p0,4,0.456,0.0111,0
475.5,24.1875,0.265,0.1261,0.1702,rep_00042,rep_00042_p0,5,0.57,0.0202,0
468.5,741.1875,0.2807,0.128,0.153,rep_00042,rep_00042_p0,6,0.684,0.0392,0
523.5,1330.6875,0.2999,0.1147,0.2884,rep_00042,rep_00042_p0,7,0.798,0.0624,0
595.0,481.25,0.1655,0.1007,-0.0061,rep_00042,rep_00042_p1,0,0.0,0.0014,0
597.5,122.1875,0.1808,0.1003,-0.0019,rep_00042,rep_00042_p1,1,0.114,0.0133,0
504.0,986.5,0.2688,0.1191,-0.1581,rep_00042,rep_00042_p1,2,0.228,0.2801,0
537.0,652.25,0.3007,0.1115,-0.103,rep_00042,rep_00042_p1,3,0.342,0.2926,0
480.0,1014.5,0.3125,0.1248,-0.1982,rep_00042,rep_00042_p1,4,0.456,0.3873,1
483.5,177.1875,0.273,0.1241,-0.1924,rep_00042,rep_00042_p1,5,0.57,0.3145,1
519.5,529.6875,0.3388,0.1152,-0.1322,rep_00042,rep_00042_p1,6,0.684,0.3806,1
540.5,189.6875,0.3515,0.1109,-0.0972,rep_00042,rep_00042_p1,7,0.798,0.3674,1
659.0,25006.25,0.1313,0.0909,0.0857,rep_00046,rep_00046_p3,0,0.0,0.0,0
529.5,175.6875,0.3466,0.1132,-0.1277,rep_00046,rep_00046_p3,1,0.116,0.2115,0
612.5,1558.6875,0.2751,0.0979,0.0091,rep_00046,rep_00046_p3,2,0.232,0.0454,0
657.5,484.1875,0.324,0.0912,0.0832,rep_00046,rep_00046_p3,3,0.349,0.1068,0
755.5,1881.6875,0.2283,0.0793,0.2446,rep_00046,rep_00046_p3,4,0.465,0.0,0
734.5,415.1875,0.2274,0.0815,0.21,rep_00046,rep_00046_p3,5,0.581,0.0,0
815.0,718.75,0.2337,0.0736,0.3427,rep_00046,rep_00046_p3,6,0.697,0.0,0
718.0,547.5,0.25,0.0836,0.1829,rep_00046,rep_00046_p3,7,0.813,0.0139,0
57.0,850.25,0.9912,0.8818,-0.6323,rep_00046,rep_00046_p7,0,0.0,0.5567,1
512.5,20691.6875,1.0,0.1068,2.3065,rep_00046,rep_00046_p7,1,0.116,0.0013,0
685.0,3116.25,1.0,0.0869,3.4194,rep_00046,rep_00046_p7,2,0.232,0.0013,0
587.0,2011.25,1.0,0.1022,2.7871,rep_00046,rep_00046_p7,3,0.349,0.0013,0
764.0,2219.5,1.0,0.0784,3.929,rep_00046,rep_00046_p7,4,0.465,0.0013,0
698.5,198.1875,1.0,0.0859,3.5065,rep_00046,rep_00046_p7,5,0.581,0.0013,0
786.5,243.6875,1.0,0.076,4.0742,rep_00046,rep_00046_p7,6,0.697,0.0013,0
799.0,667.25,1.0,0.0749,4.1548,rep_00046,rep_00046_p7,7,0.813,0.0013,0
489.5,761.1875,0.143,0.1225,0.0305,rep_00051,rep_00051_p0,0,0.0,0.0023,0
444.0,79.5,0.1408,0.1348,-0.0653,rep_00051,rep_00051_p0,1,0.093,0.0339,0
464.0,54.0,0.2091,0.1289,-0.0232,rep_00051,rep_00051_p0,2,0.186,0.1454,0
452.5,973.1875,0.2387,0.1325,-0.0474,rep_00051,rep_00051_p0,3,0.279,0.2259,0
463.0,795.25,0.338,0.1295,-0.0253,rep_00051,rep_00051_p0,4,0.373,0.3053,1
383.5,477.6875,0.266,0.1566,-0.1926,rep_00051,rep_00051_p0,5,0.466,0.395,1
430.0,382.5,0.2849,0.139,-0.0947,rep_00051,rep_00051_p0,6,0.559,0.3555,1
455.0,393.25,0.2703,0.1307,-0.0421,rep_00051,rep_00051_p0,7,0.652,0.2872,0
456.5,424.1875,0.3308,0.1311,-0.0389,rep_00051,rep_00051_p0,8,0.745,0.3148,1
455.0,188.25,0.3418,0.1317,-0.0421,rep_00051,rep_00051_p0,9,0.838,0.3173,1
690.0,2058.5,0.1739,0.087,0.1022,rep_00051,rep_00051_p1,0,0.0,0.0,0
510.0,118.0,0.3029,0.1176,-0.1853,rep_00051,rep_00051_p1,1,0.093,0.1861,0
418.5,627.1875,0.3955,0.1433,-0.3315,rep_00051,rep_00051_p1,2,0.186,0.4291,1
393.5,935.6875,0.4536,0.1524,-0.3714,rep_00051,rep_00051_p1,3,0.279,0.5408,1
457.5,387.1875,0.5016,0.1311,-0.2692,rep_00051,rep_00051_p1,4,0.373,0.4751,1
405.5,150.1875,0.4809,0.148,-0.3522,rep_00051,rep_00051_p1,5,0.466,0.5514,1
358.0,349.0,0.5251,0.1673,-0.4281,rep_00051,rep_00051_p1,6,0.559,0.6287,1
372.5,721.1875,0.443,0.1606,-0.405,rep_00051,rep_00051_p1,7,0.652,0.561,1
412.5,624.6875,0.5273,0.1454,-0.3411,rep_00051,rep_00051_p1,8,0.745,0.5405,1
484.5,66.6875,0.5593,0.1239,-0.226,rep_00051,rep_00051_p1,9,0.838,0.4385,1
364.0,108.5,0.2926,0.165,0.103,rep_00073,rep_00073_p0,0,0.0,0.0,0
309.5,924.6875,0.3603,0.1922,-0.0621,rep_00073,rep_00073_p0,1,0.082,0.0868,0
345.0,402.25,0.2812,0.1736,0.0455,rep_00073,rep_00073_p0,2,0.164,0.0,0
405.0,522.75,0.2704,0.1472,0.2273,rep_00073,rep_00073_p0,3,0.245,0.0,0
367.0,754.75,0.3202,0.1631,0.1121,rep_00073,rep_00073_p0,4,0.327,0.0,0
348.5,301.6875,0.33,0.1723,0.0561,rep_00073,rep_00073_p0,5,0.409,0.0033,0
445.0,793.25,0.3225,0.134,0.3485,rep_00073,rep_00073_p0,6,0.491,0.0,0
406.0,707.5,0.3116,0.1479,0.2303,rep_00073,rep_00073_p0,7,0.573,0.0,0
381.0,250.25,0.3031,0.1574,0.1545,rep_00073,rep_00073_p0,8,0.655,0.0,0
401.5,636.6875,0.2777,0.1491,0.2167,rep_00073,rep_00073_p0,9,0.736,0.0,0
403.5,206.1875,0.285,0.1487,0.2227,rep_00073,rep_00073_p0,10,0.818,0.0,0
446.0,204.5,0.2769,0.1343,0.3515,rep_00073,rep_00073_p0,11,0.9,0.0,0
346.5,2009.1875,0.3059,0.1733,-0.0239,rep_00073,rep_00073_p1,0,0.0,0.1329,0
436.0,1056.5,0.2144,0.1376,0.2282,rep_00073,rep_00073_p1,1,0.082,0.0,0
648.0,1494.5,0.1775,0.0926,0.8254,rep_00073,rep_00073_p1,2,0.164,0.0,0
522.0,501.5,0.1705,0.115,0.4704,rep_00073,rep_00073_p1,3,0.245,0.0,0
620.0,1846.5,0.1565,0.0968,0.7465,rep_00073,rep_00073_p1,4,0.327,0.0,0
719.0,2212.25,0.1648,0.0833,1.0254,rep_00073,rep_00073_p1,5,0.409,0.0,0
749.5,1908.6875,0.1795,0.0798,1.1113,rep_00073,rep_00073_p1,6,0.491,0.0,0
636.5,1063.6875,0.1603,0.0942,0.793,rep_00073,rep_00073_p1,7,0.573,0.0,0
636.5,1124.1875,0.1775,0.0942,0.793,rep_00073,rep_00073_p1,8,0.655,0.0,0
599.5,776.6875,0.1793,0.0991,0.6887,rep_00073,rep_00073_p1,9,0.736,0.0,0
649.0,2352.25,0.1602,0.0925,0.8282,rep_00073,rep_00073_p1,10,0.818,0.0,0
690.5,796.6875,0.1383,0.0868,0.9451,rep_00073,rep_00073_p1,11,0.9,0.0,0
624.0,2000.5,0.2316,0.0954,0.0263,rep_00077,rep_00077_p0,0,0.0,0.0,0
520.5,1246.1875,0.2843,0.115,-0.1439,rep_00077,rep_00077_p0,1,0.109,0.0945,0
538.0,1196.5,0.2481,0.1115,-0.1151,rep_00077,rep_00077_p0,2,0.218,0.0419,0
579.0,4036.25,0.2565,0.1032,-0.0477,rep_00077,rep_00077_p0,3,0.326,0.0,0
