match_id,player_id,window_idx,attn_weight,label,rel_position,apm,apm_variance,action_gap_mean,error_rate,pos_bin
rep_00020,rep_00020_p0,0,0.5790343880653381,0,0.0,-0.3727065920829773,-0.33694136142730713,0.13109050691127777,-0.8639916777610779,
rep_00020,rep_00020_p0,1,0.32098743319511414,0,0.14285714285714285,-0.13383278250694275,-0.22072473168373108,-0.0883391946554184,-0.6367956399917603,1.0
rep_00020,rep_00020_p0,2,0.03530368581414223,0,0.2857142857142857,-0.7924419641494751,-0.3816155195236206,0.5727630853652954,-0.670172393321991,2.0
rep_00020,rep_00020_p0,3,0.026923855766654015,0,0.42857142857142855,-0.7071298956871033,-0.32417455315589905,0.460235059261322,-0.7114540934562683,4.0
rep_00020,rep_00020_p0,4,0.012486130930483341,0,0.5714285714285714,-0.6900674700737,-0.3093089759349823,0.434916228055954,-0.6807124018669128,5.0
rep_00020,rep_00020_p0,5,0.020983969792723656,0,0.7142857142857143,-0.3044569194316864,-0.11975087225437164,0.04950766637921333,-0.6119094491004944,7.0
rep_00020,rep_00020_p0,6,0.002437974326312542,0,0.8571428571428571,-0.4580186605453491,-0.38366594910621643,0.20704694092273712,-0.46961915493011475,8.0
rep_00020,rep_00020_p0,7,0.001842487952671945,0,1.0,-0.43754374980926514,-0.31313902139663696,0.19016772508621216,-0.4953836500644684,9.0
rep_00028,rep_00028_p1,0,0.494673490524292,0,0.0,-0.30104443430900574,-0.34749332070350647,0.0635736733675003,-0.6461645364761353,
rep_00028,rep_00028_p1,1,0.24507580697536469,0,0.14285714285714285,-0.5467432141304016,-0.3356550335884094,0.29706937074661255,-0.7290208339691162,1.0
rep_00028,rep_00028_p1,2,0.1364639848470688,0,0.2857142857142857,-0.17478257417678833,-0.21167190372943878,-0.05176758021116257,-0.8112915754318237,2.0
rep_00028,rep_00028_p1,3,0.06517518311738968,0,0.42857142857142855,-0.32834431529045105,-0.28505203127861023,0.08326607942581177,-0.8593072295188904,4.0
rep_00028,rep_00028_p1,4,0.024823375046253204,0,0.5714285714285714,0.4360518455505371,-0.25889942049980164,-0.4850005805492401,-0.7796714901924133,5.0
rep_00028,rep_00028_p1,5,0.016990408301353455,0,0.7142857142857143,0.5384263396263123,-0.3202188014984131,-0.5468909740447998,-0.6877390742301941,7.0
rep_00028,rep_00028_p1,6,0.010982764884829521,0,0.8571428571428571,0.5554887056350708,-0.37678930163383484,-0.5581437945365906,-0.721994161605835,8.0
rep_00028,rep_00028_p1,7,0.005814991891384125,0,1.0,0.3780396282672882,-0.3133421242237091,-0.4484289586544037,-0.846132218837738,9.0
rep_00051,rep_00051_p0,0,0.642924427986145,0,0.0,-0.5501556992530823,-0.2773629426956177,0.29988259077072144,-0.9705629944801331,
rep_00051,rep_00051_p0,1,0.19483575224876404,0,0.1111111111111111,-0.8606916069984436,-0.38285353779792786,0.6459063291549683,-0.9770041108131409,1.0
rep_00051,rep_00051_p0,2,0.07741694152355194,0,0.2222222222222222,-0.7241923213005066,-0.3867996335029602,0.4799274504184723,-0.7770364880561829,2.0
rep_00051,rep_00051_p0,3,0.03349098190665245,0,0.3333333333333333,-0.8026794195175171,-0.24455609917640686,0.5812026858329773,-0.6903740763664246,3.0
rep_00051,rep_00051_p0,4,0.009642992168664932,1,0.4444444444444444,-0.7310172915458679,-0.2720917761325836,0.49680665135383606,-0.3996451199054718,4.0
