player_id,n_windows,n_true_fatigue,n_pred_fatigue,mean_prob,true_rate,pred_rate
rep_01567_p2,14,0,0,0.00048342158,0.0,0.0
rep_01576_p1,16,0,0,0.0029395293,0.0,0.0
rep_01591_p4,11,0,0,0.00020309888,0.0,0.0
rep_01594_p6,11,0,0,9.734206e-05,0.0,0.0
rep_01597_p0,10,0,0,1.5400936e-05,0.0,0.0
rep_01600_p6,10,0,0,9.664769e-06,0.0,0.0
rep_01608_p2,7,0,0,2.484627e-05,0.0,0.0
rep_01650_p3,10,0,0,8.413939e-05,0.0,0.0
rep_01657_p2,7,0,0,0.00019455452,0.0,0.0
rep_01660_p3,10,0,0,0.00013344987,0.0,0.0
rep_01743_p3,11,0,2,0.15862618,0.0,0.18181818181818182
rep_01759_p2,16,0,7,0.36310357,0.0,0.4375
rep_01760_p10,11,0,0,0.0022228917,0.0,0.0
rep_01796_p1,8,3,3,0.2373955,0.375,0.375
rep_01840_p1,10,2,6,0.5690825,0.2,0.6
rep_01857_p2,8,0,0,0.0023936478,0.0,0.0
rep_01907_p2,12,0,0,0.00012543886,0.0,0.0
rep_01926_p10,10,0,2,0.1301845,0.0,0.2
rep_01935_p2,28,0,0,0.0016609117,0.0,0.0
rep_01949_p5,7,0,0,0.006077487,0.0,0.0
rep_01956_p2,8,2,4,0.39507052,0.25,0.5
rep_01975_p1,9,0,0,4.6721387e-05,0.0,0.0
rep_02002_p5,9,1,0,0.004377423,0.1111111111111111,0.0
rep_02027_p4,7,0,0,0.04002997,0.0,0.0
rep_02121_p6,8,0,0,5.618381e-06,0.0,0.0
rep_02141_p11,8,0,0,0.0059328726,0.0,0.0
rep_02169_p1,10,1,0,0.017367598,0.1,0.0
rep_02187_p4,8,0,1,0.09633616,0.0,0.125
rep_02188_p4,8,0,0,0.0046422896,0.0,0.0
rep_02207_p0,10,0,0,0.0008782463,0.0,0.0
rep_02221_p9,11,0,0,8.792484e-05,0.0,0.0
rep_02242_p6,13,0,0,3.6588485e-06,0.0,0.0
rep_02297_p7,9,1,1,0.10725196,0.1111111111111111,0.1111111111111111
rep_02342_p0,9,2,7,0.7364928,0.2222222222222222,0.7777777777777778
rep_02347_p1,12,0,0,2.6707936e-05,0.0,0.0
rep_02353_p3,7,1,0,0.0018803587,0.14285714285714285,0.0
rep_02357_p2,9,0,0,0.01662542,0.0,0.0
rep_02363_p3,8,0,0,0.017137114,0.0,0.0
rep_02393_p1,20,0,0,0.020819092,0.0,0.0
rep_02402_p3,8,0,0,0.00013696148,0.0,0.0
rep_02411_p12,11,0,0,0.0013805906,0.0,0.0
rep_02447_p2,9,0,5,0.4294876,0.0,0.5555555555555556
rep_02456_p2,9,0,0,0.0020929095,0.0,0.0
rep_02462_p4,9,0,0,7.291962e-05,0.0,0.0
rep_02466_p7,9,0,0,0.00028039224,0.0,0.0
rep_02471_p2,8,0,5,0.54943967,0.0,0.625
rep_02485_p1,8,0,1,0.07156857,0.0,0.125
rep_02502_p1,11,0,0,2.4099638e-05,0.0,0.0
rep_02513_p7,8,0,0,0.00010112566,0.0,0.0
rep_02546_p0,9,0,0,0.0016269527,0.0,0.0
rep_02570_p5,7,1,1,0.117704235,0.14285714285714285,0.14285714285714285
rep_02571_p4,8,0,0,3.1676456e-05,0.0,0.0
rep_02583_p0,22,0,0,0.014621065,0.0,0.0
rep_02584_p1,10,0,0,0.00040370208,0.0,0.0
rep_02585_p2,7,0,1,0.09565061,0.0,0.14285714285714285
rep_02600_p7,16,0,0,0.002964363,0.0,0.0
rep_02616_p1,8,0,0,0.00013677025,0.0,0.0
rep_02623_p1,8,0,0,8.578871e-05,0.0,0.0
rep_02636_p10,8,0,0,0.0001911025,0.0,0.0
rep_02653_p5,11,0,7,0.48443985,0.0,0.6363636363636364
rep_02662_p3,8,0,0,0.0002913419,0.0,0.0
rep_02694_p2,8,0,0,6.8409834e-05,0.0,0.0
rep_02713_p4,8,3,8,0.7858364,0.375,1.0
rep_02717_p7,12,0,0,0.0009579568,0.0,0.0
rep_02723_p7,11,0,0,1.98607e-05,0.0,0.0
rep_02738_p3,11,0,0,5.2016458e-05,0.0,0.0
rep_02755_p3,20,0,0,0.00013947775,0.0,0.0
rep_02766_p3,18,0,0,0.0018368436,0.0,0.0
rep_02771_p1,8,1,5,0.5957226,0.125,0.625
rep_02778_p2,12,0,0,2.4120343e-05,0.0,0.0
rep_02791_p3,8,0,0,9.6186486e-05,0.0,0.0
rep_02816_p1,11,0,0,0.0008887308,0.0,0.0
rep_02820_p1,9,2,9,0.85494035,0.2222222222222222,1.0
rep_02862_p3,9,0,1,0.08967129,0.0,0.1111111111111111
rep_02876_p1,9,1,7,0.47382322,0.1111111111111111,0.7777777777777778
rep_02883_p3,8,0,0,0.0012707904,0.0,0.0
rep_02901_p1,7,0,0,0.00015708075,0.0,0.0
rep_02920_p5,8,0,0,0.0006967279,0.0,0.0
rep_02960_p9,10,0,0,9.7488555e-06,0.0,0.0
rep_02969_p2,9,0,0,1.3298097e-05,0.0,0.0
rep_02990_p5,10,0,1,0.052094676,0.0,0.1
rep_03007_p2,8,0,0,0.014303158,0.0,0.0
rep_03012_p2,16,0,0,0.0043882322,0.0,0.0
rep_03025_p5,12,5,6,0.48693594,0.4166666666666667,0.5
rep_03054_p5,20,2,9,0.36735046,0.1,0.45
rep_03071_p2,16,0,0,0.020067003,0.0,0.0
rep_03075_p4,7,0,0,0.0005203038,0.0,0.0
rep_03080_p1,22,4,1,0.057797123,0.18181818181818182,0.045454545454545456
rep_03082_p3,12,0,0,4.3005134e-06,0.0,0.0
rep_03130_p2,9,0,0,0.003995037,0.0,0.0
rep_03150_p4,8,0,4,0.37849754,0.0,0.5
rep_03174_p5,8,0,0,0.0015495674,0.0,0.0
rep_03179_p1,8,0,0,4.0076357e-05,0.0,0.0
rep_03182_p2,7,0,0,0.0001637762,0.0,0.0
rep_03192_p1,9,0,0,0.0520504,0.0,0.0
rep_03196_p2,7,0,0,0.009591836,0.0,0.0
rep_03207_p7,18,0,0,0.00020301179,0.0,0.0
rep_03222_p4,16,0,1,0.06103412,0.0,0.0625
rep_03228_p4,10,0,0,0.0023419585,0.0,0.0
rep_03229_p3,10,0,0,0.0010922562,0.0,0.0
rep_03233_p0,18,0,0,3.7406247e-05,0.0,0.0
rep_03234_p2,9,0,0,0.0043408517,0.0,0.0
rep_03237_p2,10,0,0,0.00015266481,0.0,0.0
rep_03239_p3,13,0,0,0.00050756807,0.0,0.0
rep_03250_p0,8,0,0,0.00024418414,0.0,0.0
rep_03257_p4,8,0,0,0.035361934,0.0,0.0
